ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes",Brands
1282,simple,,,"ECOUTEURS BLUETOOTH INKAX TWS-02",1,0,visible,,"Écouteurs Bluetooth INKAX TWS-02, des écouteurs sans fil simples et efficaces.  Qualité sonore correcte pour un usage quotidien.  Design léger et confortable pour une utilisation prolongée.  Boîtier de charge pour un rangement facile et une autonomie supplémentaire.  Un bon choix pour un usage quotidien et pour les budgets limités.",,,taxable,,1,,,0,0,,,,,1,,,44,"Audio et multimédia","Audio, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/QmsSqnfHqLJyixYK.jpg,,,,,,,,,0,,
1283,simple,,,"ECOUTEURS BLUETOOTH ASPOR A-615",1,0,visible,,"Écouteurs Bluetooth ASPOR A-615, des écouteurs sans fil au design sportif.  Son puissant et clair pour profiter de votre musique pendant l'effort.  Résistants à la sueur pour une utilisation pendant vos séances de sport.  Autonomie longue durée pour vos entraînements.  Idéal pour les sportifs qui aiment écouter de la musique.",,,taxable,,1,,,0,0,,,,,1,,,59,"Audio et multimédia","Audio, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/sKzzvnCLBuUNgCMZ.png,,,,,,,,,0,,
1284,simple,,,"ECOUTEURS BLUETOOTH INKAX TWS-19",1,0,visible,,"Écouteurs Bluetooth INKAX TWS-19, des écouteurs sans fil au design moderne.  Son de haute qualité pour une expérience audio satisfaisante.  Design ergonomique pour une tenue confortable.  Boîtier de charge compact et pratique.  Idéal pour une utilisation quotidienne et pour les déplacements.",,,taxable,,1,,,0,0,,,,,1,,,45,"Audio et multimédia","Audio, Électronique",https://files.manuscdn.com/user_upload_by_module/session_file/310419663031366693/mKzjsoJMfBkFgRKA.jpg,https://sml.boutique/wp-content/uploads/2025/12/mKzjsoJMfBkFgRKA.jpg,,,,,,,,,0,,440
1286,simple,,,"SUPPORT DE PARE-BRISE BH18",1,0,visible,,"Support de pare-brise BH18 pour fixer votre smartphone en voiture. Ventouse puissante pour une fixation sécurisée. Bras ajustable pour une position de vision optimale. Facile à installer et à retirer. Idéal pour utiliser votre GPS ou passer des appels en mode mains libres.",,,taxable,,1,,,0,0,,,,,1,,,35,"Accessoires pour smartphones","Câble, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/9081566286627.jpg,,,,,,,,,0,,
1287,simple,,,"SUPPORT DE PARE-BRISE BH-65",1,0,visible,,"Support de pare-brise BH-65, un support robuste et fiable pour votre smartphone.  Fixation par ventouse solide pour une tenue stable.  Bras articulé pour une orientation flexible.  Compatible avec la plupart des tailles de smartphones.  Un accessoire essentiel pour la navigation et les appels en voiture.",,,taxable,,1,,,0,0,,,,,1,,,39,"Accessoires pour smartphones","Câble, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/LvZcLuEEqvKdHuBH.png,,,,,,,,,0,,
1288,simple,,,"SUPPORT DE PARE-BRISE BH-68",1,0,visible,,"Support de pare-brise BH-68, un accessoire pratique pour votre smartphone en voiture.  Ventouse de haute qualité pour une fixation sécurisée.  Bras extensible pour une portée adaptée à votre besoin.  Facile à installer et à utiliser.  Idéal pour une conduite sûre et confortable.",,,taxable,,1,,,0,0,,,,,1,,,40,"Accessoires pour smartphones","Accessoires Tech, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/iurNOqZIUMgdvwOp.webp,,,,,,,,,0,,
1289,simple,,,"SUPPORT DE PARE-BRISE BH-64",1,0,visible,,"Support de pare-brise BH-64 pour une fixation sécurisée de votre smartphone.  Ventouse puissante pour une fixation stable.  Design compact et discret.  Facile à installer et à utiliser.  Parfait pour une conduite plus sûre et confortable.",,,taxable,,1,,,0,0,,,,,1,,,39,"Accessoires pour smartphones","Câble, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/ItUkrBbtWtRHmPlC.png,,,,,,,,,0,,
1290,simple,,,"CABLE CHARGE BX-47 TYPE C",1,0,visible,,"Câble de charge BX-47 avec connecteur Type-C pour une recharge rapide et efficace.  Fabriqué avec des matériaux de haute qualité pour une durabilité accrue.  Compatible avec tous les appareils dotés d'un port USB Type-C.  Longueur idéale pour une utilisation pratique au quotidien.  Un accessoire indispensable pour vos appareils mobiles.",,,taxable,,1,,,0,0,,,,,1,,,12,"Accessoires informatiques","Câble, Connectivité, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/mKzjsoJMfBkFgRKA.jpg,,,,,,,,,0,,
1291,simple,,,"CABLE CHARGE BX-47 MICRO",1,0,visible,,"Câble de charge BX-47 avec connecteur Micro USB pour une recharge fiable et rapide.  Construction robuste pour une longue durée de vie.  Compatible avec les appareils Android et autres périphériques dotés d'un port Micro USB.  Longueur idéale pour une utilisation quotidienne confortable.  Un accessoire de base pour rester connecté.",,,taxable,,1,,,0,0,,,,,1,,,12,"Accessoires informatiques","Câble, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/cDFMIyyEhHAKsDev.jpg,,,,,,,,,0,,
1292,simple,,,"CABLE CHARGE BX-66 TYPE C",1,0,visible,,"Câble de charge BX-66 avec connecteur Type-C, conçu pour une recharge rapide et un transfert de données performant.  Matériaux de haute qualité pour une résistance à l'usure et aux manipulations fréquentes.  Compatible avec tous les appareils dotés d'un port USB Type-C.  Sa longueur pratique assure une utilisation confortable au quotidien.  Un choix parfait pour ceux qui exigent fiabilité et efficacité.",,,taxable,,1,,,0,0,,,,,1,,,15,"Accessoires informatiques","Câble, Connectivité, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/lUipkkDAsaNXSJuk.jpg,,,,,,,,,0,,
1293,simple,,,"CABLE CHARGE BOROFONE BX-96 IPHONE",1,0,visible,,"Câble de charge Borofone BX-96 avec connecteur Lightning pour iPhone, conçu pour une recharge et un transfert de données rapide.  Matériaux de haute qualité pour une résistance et une durabilité accrues.  Compatible avec tous les appareils Apple dotés d'un port Lightning.  Une longueur optimale pour un confort d'utilisation au quotidien.  Un choix fiable pour tous les utilisateurs d'iPhone.",,,taxable,,1,,,0,0,,,,,1,,,18,"Accessoires informatiques","Câble, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/NxESFxEmcfQsvQQE.webp,,,,,,,,,0,,
1294,simple,,,"CABLE CHARGE BX-66 USB TO IP",1,0,visible,,"Câble de charge BX-66 avec connecteur USB vers Lightning pour une recharge facile et rapide.  Construction robuste pour une durée de vie prolongée.  Compatible avec les appareils Apple dotés d'un port Lightning.  Longueur pratique pour une utilisation quotidienne confortable.  Un accessoire essentiel pour les utilisateurs d'iPhone.",,,taxable,,1,,,0,0,,,,,1,,,15,"Accessoires informatiques","Câble, Connectivité, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/NxESFxEmcfQsvQQE.webp,,,,,,,,,0,,
1295,simple,,,"USB C TO 3.5mm JACK BV-16",1,0,visible,,"Adaptateur USB-C vers Jack 3,5 mm BV-16 pour connecter vos écouteurs à votre smartphone.  Conception compacte et facile à transporter.  Qualité audio préservée pour une écoute optimale.  Compatible avec les appareils dotés d'un port USB Type-C sans prise casque.  Un accessoire essentiel pour les mélomanes.",,,taxable,,1,,,0,0,,,,,1,,,16,"Accessoires informatiques","Câble, Connectivité, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/WFKAdtuaKlShQacq.jpg,,,,,,,,,0,,
1296,simple,,,"METAL DUAL PORT CAR CHARGER SET BZ-19",1,0,visible,,"Chargeur de voiture double port en métal BZ-19 pour recharger vos appareils en déplacement.  Deux ports USB pour charger deux appareils simultanément.  Design élégant et robuste en métal.  Charge rapide et efficace.  Idéal pour les voyages et les déplacements quotidiens.",,,taxable,,1,,,0,0,,,,,1,,,19,"Accessoires pour smartphones","Câble, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/QusNouHiXOEuDNSr.jpg,,,,,,,,,0,,
1297,simple,,,"METAL SINGLE PORT CAR CHARGER SET BZ-19A USB TO MICRO",1,0,visible,,"Chargeur de voiture simple port en métal BZ-19A avec USB vers Micro USB.  Rechargez votre appareil Micro USB en toute simplicité pendant vos trajets.  Design compact et robuste.  Charge rapide et sécurisée.  Un accessoire essentiel pour les utilisateurs de périphériques Micro USB.",,,taxable,,1,,,0,0,,,,,1,,,23,"Accessoires pour smartphones","Câble, Connectivité, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/lICkQwLlYFqttMhR.jpg,,,,,,,,,0,,
1298,simple,,,"METAL SINGLE PORT CAR CHARGER SET BZ-19A USB TO C",1,0,visible,,"Chargeur de voiture simple port en métal BZ-19A avec USB vers USB-C.  Rechargez votre appareil USB-C en toute simplicité pendant vos trajets.  Design compact et résistant.  Charge rapide et stable.  Idéal pour les utilisateurs de smartphones et tablettes USB-C.",,,taxable,,1,,,0,0,,,,,1,,,25,"Accessoires pour smartphones","Câble, Connectivité, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/EAPMRpSAChKulfrK.jpg,,,,,,,,,0,,
1299,simple,,,"CASQUE BLUETOOTH BO-23",1,0,visible,,"Casque Bluetooth BO-23 pour une expérience d'écoute sans fil immersive.  Son de haute qualité pour profiter de votre musique et de vos appels.  Design confortable pour une utilisation prolongée.  Autonomie longue durée pour vous accompagner toute la journée.  Parfait pour vos déplacements, vos séances de sport ou au travail.",,,taxable,,1,,,0,0,,,,,1,,,69,"Audio et multimédia","Audio, Électronique, Gadgets",,https://sml.boutique/wp-content/uploads/2025/12/OAqzUrCLVqhLbdqa.webp,,,,,,,,,0,,
1300,simple,,,"CASQUE BLUETOOTH BO-22",1,0,visible,,"Casque Bluetooth BO-22 pour une écoute sans fil pratique et de qualité.  Son clair et équilibré pour apprécier votre musique et vos appels.  Design léger et confortable pour un usage quotidien.  Autonomie de batterie suffisante pour vos activités.  Un bon choix pour ceux qui cherchent un casque Bluetooth fonctionnel.",,,taxable,,1,,,0,0,,,,,1,,,89,"Audio et multimédia","Audio, Électronique, Gadgets",,https://sml.boutique/wp-content/uploads/2025/12/GXioGbsXsJKyNneR.webp,,,,,,,,,0,,
1311,simple,,,"HUMIDIFICATEUR HAVIT H1350",1,0,visible,,"Humidificateur HAVIT H1350 pour améliorer la qualité de l'air ambiant.  Design élégant et discret pour s'intégrer dans tous les intérieurs.  Fonctionnement silencieux pour une utilisation de jour comme de nuit.  Capacité de réservoir suffisante pour une longue autonomie.  Idéal pour un environnement sain et confortable.",,,taxable,,1,,,0,0,,,,,1,,,55,"Électronique connectée","Accessoires Tech, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/HSOTLDugyToVYqnh.png,,,,,,,,,0,,
1312,simple,,,"HUMIDIFICATEUR HAVIT H1351",1,0,visible,,"Humidificateur HAVIT H1351 pour un air plus sain et agréable chez vous.  Design compact et moderne qui s'adapte à tous les styles de décoration.  Fonctionnement silencieux pour une utilisation sans gêne.  Capacité du réservoir idéale pour une diffusion prolongée.  Parfait pour lutter contre la sécheresse de l'air.",,,taxable,,1,,,0,0,,,,,1,,,55,"Électronique connectée",,,https://sml.boutique/wp-content/uploads/2025/12/WUqRXMpFaTXYzxwI.png,,,,,,,,,0,,
1313,simple,,,"MANETTE PS3 DOUBLESHOCK",1,0,visible,,"Manette PS3 Dualshock pour une expérience de jeu immersive et réactive.  Design ergonomique pour une prise en main confortable.  Fonction vibration pour une immersion totale dans le jeu.  Boutons réactifs pour des actions précises.  Un accessoire indispensable pour profiter pleinement de votre console PS3.",,,taxable,,1,,,0,0,,,,,1,,,35,"Gaming et accessoires","Électronique, Gaming",,https://sml.boutique/wp-content/uploads/2025/12/DsnjjxqOTVSdzPMm.jpg,,,,,,,,,0,,
1314,simple,,,"ECOUTEURS BLUETOOTH AIRPODS PRO SANS EMBALLAGE",1,0,visible,,"Écouteurs Bluetooth AirPods Pro, sans emballage, pour une expérience audio haut de gamme.  Réduction active du bruit pour une immersion totale.  Mode transparence pour rester connecté à votre environnement.  Qualité sonore exceptionnelle pour la musique et les appels.  Un choix premium pour les audiophiles.",,,taxable,,1,,,0,0,,,,,1,,,30,"Audio et multimédia","Audio, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/DLFLaYdktWALwtHR.jpg,,,,,,,,,0,,
1315,simple,,,"CEINTURE SMART WATCH ALPINE LOOP",1,0,visible,,"Ceinture Alpine Loop pour smartwatch, un bracelet élégant et résistant.  Fabriquée avec des matériaux de haute qualité pour une durabilité accrue.  Design sportif et confortable pour un usage quotidien et les activités physiques.  Facile à installer et à ajuster à votre poignet.  Un accessoire parfait pour personnaliser votre montre connectée.",,,taxable,,1,,,0,0,,,,,1,,,19,"Accessoires pour smartphones","Électronique, Gadgets, High-Tech",,https://sml.boutique/wp-content/uploads/2025/12/ykFKwctNXPlkZNGB.jpg,,,,,,,,,0,,
1316,simple,,,"CASQUE BLUETOOTH XO-BE35",1,0,visible,,"Casque Bluetooth XO-BE35 pour une expérience audio sans fil agréable.  Son clair et équilibré pour écouter de la musique ou passer des appels.  Design léger et confortable pour une utilisation prolongée.  Facile à utiliser et à connecter avec votre appareil.  Un bon choix pour ceux qui cherchent un casque Bluetooth simple et pratique.",,,taxable,,1,,,0,0,,,,,1,,,79,"Audio et multimédia","Audio, Électronique, Gadgets",,https://sml.boutique/wp-content/uploads/2025/12/KZzPUxjsZJWkfeMB.webp,,,,,,,,,0,,
1317,simple,,,"GLASS GSM",1,0,visible,,"Protection d'écran en verre trempé pour smartphone, ultra résistante et transparente.  Protège efficacement l'écran de votre téléphone contre les rayures et les chocs.  Toucher lisse et agréable pour une utilisation fluide.  Facile à installer sans bulles.  Un accessoire indispensable pour préserver votre écran.",,,taxable,,1,,,0,0,,,,,1,,,7,"Accessoires pour smartphones","Accessoires Tech, Électronique, Gadgets",,https://sml.boutique/wp-content/uploads/2025/12/bXJOBvGfKFysyocN.jpg,,,,,,,,,0,,
1318,simple,,,"ENCRE EPSON 103 M 65ml ROUGE",1,0,visible,,"Encre Epson 103 magenta (rouge) de 65 ml pour une qualité d'impression optimale. Encre originale Epson pour des couleurs vives et durables. Conçue pour les imprimantes Epson compatibles. Facile à installer et à utiliser. Un choix parfait pour vos impressions photo et texte.",,,taxable,,1,,,0,0,,,,,1,,,40,"Imprimantes et encres",,,https://sml.boutique/wp-content/uploads/2025/12/c13t00s34a_1_1-1.jpg,,,,,,,,,0,,413
1319,simple,,,"ENCRE EPSON 103 Y 65ml YELLOW",1,0,visible,,"Encre Epson 103 jaune de 65 ml pour une qualité d'impression exceptionnelle. Encre originale Epson pour des couleurs brillantes et éclatantes. Conçue spécifiquement pour les imprimantes Epson compatibles. Facile à installer et à utiliser. Un choix idéal pour vos photos et documents.",,,taxable,,1,,,0,0,,,,,1,,,40,"Imprimantes et encres",,,https://sml.boutique/wp-content/uploads/2025/12/yello.webp,,,,,,,,,0,,2597
1335,simple,,,"PC PORTABLE DELL V-3520 I3-1215U 12GO 512GO",1,0,visible,,"PC portable Dell V-3520 avec processeur Intel Core i3-1215U, 12 Go de RAM et 512 Go de stockage.  Un ordinateur portable performant pour le travail et le divertissement.  Écran de haute qualité pour une expérience visuelle immersive.  Design élégant et léger pour une portabilité maximale.  Idéal pour les étudiants et les professionnels.",,,taxable,,1,,,0,0,,,,,1,,,1039,"Ordinateurs portables","Électronique, Gaming, Informatique",,https://sml.boutique/wp-content/uploads/2025/12/ddDwpPyNlbUiNJDJ.jpg,,,,,,,,,0,,
1336,simple,,,"PC PORTABLE DELL V-3520 I5-1235U 8GO 512SSD",1,0,visible,"PC portable Dell V-3520 avec processeur Intel Core i5-1235U, 8 Go de RAM et 512 Go de SSD.  Un ordinateur portable puissant pour le multitâche et les applications exigeantes.  Écran de haute résolution pour des images nettes et détaillées.  Design moderne et robuste pour une utilisation quotidienne.  Parfait pour les professionnels et les utilisateurs avancés.",,,,taxable,,0,,,0,0,,,,,0,1599,,1457,Uncategorized,,,https://sml.boutique/wp-content/uploads/2025/12/wnDhIxPRpDDcDelc.jpg,,,,,,,,,0,,
1337,simple,,,"PC PORTABLE DELL V-3520 I5-1235U 16GO 512SSD",1,0,visible,"PC portable Dell V-3520 avec processeur Intel Core i5-1235U, 16 Go de RAM et 512 Go de SSD.  Un ordinateur portable très performant pour les tâches les plus lourdes.  Écran Full HD pour une qualité d'image exceptionnelle.  Clavier confortable et pavé tactile précis pour une productivité accrue.  Idéal pour les développeurs et les créateurs de contenu.",,,,taxable,,0,,,0,0,,,,,0,1799,,1425,Uncategorized,"Électronique, Informatique",,https://sml.boutique/wp-content/uploads/2025/12/kVQJndOvPSBzSklc.jpg,,,,,,,,,0,,
1338,simple,,,"PC PORTABLE DELL V-3520 I7-1255U 16GO 512SSD",1,0,visible,"PC portable Dell V-3520 avec processeur Intel Core i7-1255U, 16 Go de RAM et 512 Go de SSD.  Le summum de la performance pour les utilisateurs exigeants.  Idéal pour les jeux, le montage vidéo et les applications professionnelles.  Autonomie de batterie exceptionnelle pour une utilisation prolongée.  Un investissement pour l'avenir.",,,,taxable,,0,,,0,0,,,,,0,1999,,2359,Uncategorized,"Électronique, High-Tech, Informatique",,https://sml.boutique/wp-content/uploads/2025/12/PlVTTirkkAFXYpeZ.jpg,,,,,,,,,0,,
1339,simple,,,"PC PORTABLE DELL V-3520 I7-1255U 16GO 1TO SSD",1,0,visible,"PC portable Dell V-3520 avec processeur Intel Core i7-1255U, 16 Go de RAM et 1 To de SSD.  Une capacité de stockage massive pour tous vos fichiers et applications.  Performance inégalée pour les tâches les plus gourmandes en ressources.  Un outil de travail et de divertissement sans compromis.  Parfait pour les professionnels de la création.",,,,taxable,,0,,,0,0,,,,,0,2199,,2118,Uncategorized,"Électronique, Gaming, Informatique",,https://sml.boutique/wp-content/uploads/2025/12/qhfysouDVWcFLFoH.jpg,,,,,,,,,0,,
1340,simple,,,"PC PORTABLE DELL V-3520 I7-1255U 32GO 1TO SSD",1,0,visible,"PC portable Dell V-3520 avec processeur Intel Core i7-1255U, 32 Go de RAM et 1 To de SSD.  La configuration ultime pour une performance sans limite.  Idéal pour les professionnels qui exigent le meilleur.  Un investissement qui garantit une productivité maximale.  Le choix des experts.",,,,taxable,,0,,,0,0,,,,,0,2499,,2199,Uncategorized,"Électronique, Informatique",,https://sml.boutique/wp-content/uploads/2025/12/qhfysouDVWcFLFoH.jpg,,,,,,,,,0,,
1341,simple,,,"ENCRE HP GT52 C",1,0,visible,,"Encre HP GT52 cyan (bleu) pour imprimantes HP, pour des couleurs intenses.  Encre originale HP pour des impressions de qualité et durables.  Spécialement conçue pour les imprimantes HP compatibles.  Facile à installer et à utiliser.  Idéale pour vos impressions quotidiennes.",,,taxable,,1,,,0,0,,,,,1,,,40,"Imprimantes et encres",,,https://sml.boutique/wp-content/uploads/2025/12/JSuxFJupJyRvorQK.png,,,,,,,,,0,,
1344,simple,,,"ENCRE HP HGT52 ADP BLEU",1,0,visible,,"Encre HP HGT52 ADP cyan (bleue) pour une qualité d'impression optimale sur les imprimantes HP.  Encre originale HP pour des couleurs vibrantes et un rendu précis.  Spécialement conçue pour les imprimantes HP compatibles.  Facile à installer et à utiliser.  Idéale pour tous vos documents en couleur.",,,taxable,,1,,,0,0,,,,,1,,,9,"Imprimantes et encres",,,https://sml.boutique/wp-content/uploads/2025/12/epIniuXqsLszbIAN.jpg,,,,,,,,,0,,
1346,simple,,,"ENCRE HP HGT52 ADP JAUNE",1,0,visible,,"Encre HP HGT52 ADP jaune, une encre de qualité pour des impressions éclatantes sur les imprimantes HP.  Encre originale HP pour des couleurs vives et une qualité constante.  Conçue spécialement pour les imprimantes HP compatibles.  Facile à installer et à utiliser.  Un choix parfait pour vos impressions quotidiennes et créatives.",,,taxable,,1,,,0,0,,,,,1,,,9,"Imprimantes et encres",,,https://sml.boutique/wp-content/uploads/2025/12/BTdevCBLkRCNGpph.jpg,,,,,,,,,0,,
1347,simple,,,"ENCRE CANON G-SERIES ADP BLEU",1,0,visible,,"Encre Canon G-Series ADP cyan (bleue) pour une qualité d'impression optimale sur imprimantes Canon.  Encre originale Canon pour des couleurs vives et un rendu précis.  Spécialement conçue pour les imprimantes Canon G-Series compatibles.  Facile à utiliser et à installer.  Idéale pour tous vos documents en couleur.",,,taxable,,1,,,0,0,,,,,1,,,9,"Imprimantes et encres",,,https://sml.boutique/wp-content/uploads/2025/12/kjqQxGParZGFLHpE.png,,,,,,,,,0,,
